"h_team","id","minute","result","X","Y","xG","player","h_a","player_id","situation","year","shotType","match_id","a_team","h_goals","a_goals","date","player_assisted","lastAction"
"Alaves",400650,13,"SavedShot",0.896999969482422,0.412000007629395,0.376994669437408,"Karim Benzema","a",2370,"OpenPlay",2020,"RightFoot",14968,"Real Madrid",1,4,2021-01-23 20:00:00,"Luka Modric","Throughball"
"Alaves",388300,87,"BlockedShot",0.86,0.377000007629395,0.059504646807909,"Ximo Navarro","h",4052,"OpenPlay",2020,"RightFoot",14865,"Valencia",2,2,2020-11-22 20:00:00,NA,"Rebound"
"Alaves",399857,77,"MissedShots",0.909000015258789,0.419000015258789,0.133607849478722,"Joselu","h",866,"OpenPlay",2020,"Head",14960,"Sevilla",1,2,2021-01-19 20:30:00,"Rubén Duarte","Chipped"
"Alaves",378640,74,"MissedShots",0.735,0.412000007629395,0.0191645305603743,"Mauro Arambarri","a",3264,"SetPiece",2020,"RightFoot",14154,"Getafe",0,0,2020-09-26 11:00:00,"Marc Cucurella","Pass"
"Alaves",412957,60,"BlockedShot",0.795,0.39,0.0277201365679502,"Ximo Navarro","h",4052,"OpenPlay",2020,"RightFoot",15058,"Celta Vigo",1,3,2021-04-04 12:00:00,NA,"None"
"Alaves",391072,79,"SavedShot",0.876999969482422,0.469000015258789,0.0745714828372002,"Willian José","a",2361,"OpenPlay",2020,"RightFoot",14891,"Real Sociedad",0,0,2020-12-06 20:00:00,"Portu","HeadPass"
"Alaves",400651,13,"BlockedShot",0.959000015258789,0.370999984741211,0.314136624336243,"Karim Benzema","a",2370,"OpenPlay",2020,"RightFoot",14968,"Real Madrid",1,4,2021-01-23 20:00:00,NA,"Rebound"
"Alaves",400655,40,"Goal",0.848000030517578,0.46,0.101057261228561,"Karim Benzema","a",2370,"OpenPlay",2020,"RightFoot",14968,"Real Madrid",1,4,2021-01-23 20:00:00,"Eden Hazard","Pass"
"Alaves",400665,69,"Goal",0.853000030517578,0.68,0.0827034339308739,"Karim Benzema","a",2370,"OpenPlay",2020,"RightFoot",14968,"Real Madrid",1,4,2021-01-23 20:00:00,"Luka Modric","Chipped"
"Alaves",399851,44,"BlockedShot",0.701999969482422,0.569000015258789,0.0160151869058609,"Ximo Navarro","h",4052,"OpenPlay",2020,"RightFoot",14960,"Sevilla",1,2,2021-01-19 20:30:00,"Luis Rioja","Pass"
"Alaves",419859,35,"Goal",0.856999969482422,0.545999984741211,0.0541599728167057,"Morales","a",2186,"OpenPlay",2020,"RightFoot",15118,"Levante",2,2,2021-05-08 12:00:00,"Jorge De Frutos","Cross"
